eunis_code	jncc_code
A5.525	SS.SMp.KSwSS.LsacGraVS
A5.526	SS.SMp.KSwSS.Tra
A5.527	SS.SMp.KSwSS.Pcri
A5.528	SS.SMp.KSwSS.FilG
A5.53	SS.SMp.SSgr
A5.5331	SS.SMp.SSgr.Zmar
A5.5343	SS.SMp.SSgr.Rup
A5.54	SS.SMp.Ang
A5.541	SS.SMp.Ang.NVC S4
A5.6	SS.SBR
A5.61	SS.SBR.PoR
A5.611	SS.SBR.PoR.SspiMx
A5.612	SS.SBR.PoR.SalvMx
A5.613	SS.SBR.PoR.Ser
A5.62	SS.SBR.SMus
A5.621	SS.SBR.SMus.ModT
A5.622	SS.SBR.SMus.ModMx
A5.623	SS.SBR.SMus.ModHAs
A5.624	SS.SBR.SMus.ModCvar
A5.625	SS.SBR.SMus.MytSS
A5.63	SS.SBR.Crl
A5.631	SS.SBR.Crl.Lop
A5.7211	SS.SMu.IFiMu.Beg
B3.11	LR.FLR.Lic
B3.111	LR.FLR.Lic.YG
B3.112	LR.FLR.Lic.Pra
B3.113	LR.FLR.Lic.Ver
B3.1131	LR.FLR.Lic.Ver.B
B3.1132	LR.FLR.Lic.Ver.Ver
B3.114	LR.FLR.Lic.Bli
B3.115	LR.FLR.Lic.UloUro
